0A1195|237.93.85|Cadmium blue
006B3C|154.100.42|Cadmium green
ED872D|28.81.93|Cadmium orange
B60C26|351.93.71|Cadmium purple
E30022|351.100.89|Cadmium red
FFF600|58.100.100|Cadmium yellow
7F3E98|283.59.60|Cadmium violet
A67B5B|26.45.65|Café au lait
4B3621|30.56.29|Café noir
1E4D2B|137.61.30|Cal Poly Pomona green
FCFFA4|62.36.100|Calamansi
A3C1AD|140.16.76|Cambridge blue
C19A6B|33.45.76|Camel
EFBBCC|340.22.94|Cameo pink
78866B|91.20.53|Camouflage green
FFFF99|60.40.100|Canary
FFEF00|56.100.100|Canary yellow
FF0800|2.100.100|Candy apple red
E4717A|355.50.89|Candy pink
00BFFF|195.100.100|Capri
592720|7.64.35|Caput mortuum
FFD59A|35.40.100|Caramel
C41E3A|350.85.77|Cardinal
00CC99|165.100.80|Caribbean green
960018|350.100.59|Carmine
D70040|342.100.84|Carmine (M&P)
EB4C42|4.72.92|Carmine pink
FF0038|347.100.100|Carmine red
FFA6C9|336.35.100|Carnation pink
B31B1B|0.85.70|Carnelian
56A0D3|204.59.83|Carolina blue
ED9121|33.86.93|Carrot orange
00563F|164.100.34|Castleton green
062A78|221.95.47|Catalina blue
703642|348.52.44|Catawba
C95A49|8.64.79|Cedar Chest
92A1CF|225.29.81|Ceil
ACE1AF|123.24.88|Celadon
007BA7|196.100.65|Celadon blue
2F847C|174.64.52|Celadon green
B2FFFF|180.30.100|Celeste
4997D0|205.65.82|Celestial blue
DE3163|343.78.87|Cerise
EC3B83|336.75.93|Cerise pink
007BA7|196.100.65|Cerulean
2A52BE|224.78.75|Cerulean blue
001440|221.100.25|Cetacean blue
6D9BC3|208.44.76|Cerulean frost
1DACD6|194.86.84|Cerulean (Crayola)
007AA5|196.100.65|CG blue
E03C31|4.78.88|CG Red
A0785A|26.44.63|Chamoisee
F7E7CE|37.17.97|Champagne
F1DDCF|25.14.95|Champagne pink
36454F|204.32.31|Charcoal
232B2B|180.19.17|Charleston green
D0748B|345.44.82|Charm
E68FAC|340.38.90|Charm pink
DFFF00|68.100.100|Chartreuse (traditional)
7FFF00|90.100.100|Chartreuse (web)
FFA600|39.100.100|Cheese
DE3163|343.78.87|Cherry
FFB7C5|348.28.100|Cherry blossom pink
954535|10.64.58|Chestnut
DE6FA1|333.50.87|China pink
A8516E|340.52.66|China rose
141414|0.0.8|Chinese black
365194|223.64.58|Chinese blue
CD8032|30.76.80|Chinese bronze
AB381F|11.82.67|Chinese brown
D0DB61|65.56.86|Chinese green
CC9900|45.100.80|Chinese gold
F37042|16.73.95|Chinese orange
DE70A1|333.50.87|Chinese pink
720B98|284.93.60|Chinese purple
CD071E|353.97.80|Chinese red
AA381E|11.82.67|Chinese red
CCCCCC|0.0.80|Chinese silver
856088|296.29.53|Chinese violet
E2E5DE|86.3.90|Chinese white
FFB200|42.100.100|Chinese yellow
4AFF00|103.100.100|Chlorophyll green
3F000F|346.100.25|Chocolate brown
58111A|352.80.34|Chocolate cosmos
3C1421|341.67.33|Chocolate Kisses
7B3F00|31.100.48|Chocolate (traditional)
D2691E|25.86.82|Chocolate (web)
FFA700|39.100.100|Chrome yellow
98817B|12.19.60|Cinereous
E34234|5.77.89|Cinnabar
D2691E|25.86.82|Cinnamon
CD607E|343.53.80|Cinnamon Satin
E4D00A|54.96.89|Citrine
9FA91F|64.82.66|Citron
7F1734|343.82.50|Claret
FBCCE7|326.19.98|Classic rose
0047AB|215.100.67|Cobalt blue
D2691E|25.86.82|Cocoa brown
965A3E|19.59.59|Coconut
6F4E37|25.50.44|Coffee
3C3024|30.40.24|Cola
C4D8E2|200.13.89|Columbia Blue
FFFFCC|60.20.100|Conditioner
F88379|5.51.97|Congo pink
002E63|212.100.38|Cool black
8C92AC|229.19.67|Cool grey
EEE0B1|46.26.93|Cookies and cream
B87333|29.72.72|Copper
DA8A67|18.53.85|Copper (Crayola)
AD6F69|5.39.68|Copper penny
CB6D51|14.60.80|Copper red
996666|0.33.60|Copper rose
FF3800|13.100.100|Coquelicot
FF7F50|16.69.100|Coral
F88379|5.51.97|Coral pink
FF4040|0.75.100|Coral red
FD7C6E|6.57.99|Coral reef
F6A494|10.40.96|Coral Reef (Valspar Paint Color)
893F45|355.54.54|Cordovan
FBEC5D|54.63.98|Corn
B31B1B|0.85.70|Cornell red
6495ED|219.58.93|Cornflower blue
93CCEA|197.100.87|Cornflower
FFF8DC|48.14.100|Cornsilk
2E2D88|241.67.53|Cosmic cobalt
FFF8E7|43.9.100|Cosmic latte
81613C|62.52.51|Coyote brown
FFBCD9|334.26.100|Cotton candy
FFFDD0|57.18.100|Cream
DC143C|348.91.86|Crimson
BE0032|344.100.75|Crimson glory
990000|0.100.60|Crimson red
F5F5F5|0.0.96|Cultured
00FFFF|180.100.100|Cyan
4E82B4|209.57.71|Cyan azure
4682BF|210.63.75|Cyan-blue azure
28589C|215.74.61|Cyan cobalt blue
188BC2|199.88.76|Cyan cornflower blue
00B7EB|193.100.92|Cyan (process)
58427C|263.47.49|Cyber grape
FFD300|50.100.100|Cyber yellow
F56FA1|338.54.96|Cyclamen
FFFF31|60.81.100|Daffodil
F0E130|55.80.94|Dandelion
FDDB6D|46.57.99|Dandelion (Crayola)
00008B|240.100.55|Dark blue
666699|240.33.60|Dark blue-gray
804A00|100.76.50|Dark bronze
514100|33.44.32|Dark bronze (Coin)
654321|30.67.40|Dark brown
88654E|24.43.53|Dark brown-tangelo
5D3954|315.39.36|Dark byzantium
A40000|0.100.64|Dark candy apple red
08457E|209.94.49|Dark cerulean
333333|0.0.20|Dark charcoal
986960|10.37.60|Dark chestnut
490206|358.97.29|Dark chocolate
3C1321|340.68.24|Dark chocolate (Hershey's)
26428B|223.73.55|Dark cornflower blue
CD5B45|10.66.80|Dark coral
008B8B|180.100.55|Dark cyan
536878|206.31.47|Dark electric blue
AA6C39|27.66.67|Dark gold
B8860B|43.94.72|Dark goldenrod
013220|158.98.20|Dark green
006400|120.100.39|Dark green (X11)
1F262A|202.26.16|Dark gunmetal
00416A|203.100.42|Dark imperial blue
00147E|231.100.40|Dark imperial blue
1A2421|162.28.14|Dark jungle green
BDB76B|56.43.74|Dark khaki
483C32|27.31.28|Dark lava
734F96|270.47.59|Dark lavender
8BBE1B|79.86.75|Dark lemon lime
534B4F|330.10.33|Dark liver
543D37|12.35.33|Dark liver (horses)
8B008B|300.100.55|Dark magenta
003366|210.100.40|Dark midnight blue
4A5D23|80.62.36|Dark moss green
556B2F|82.56.42|Dark olive green
FF8C00|33.100.100|Dark orange
9932CC|280.75.80|Dark orchid
779ECB|212.41.80|Dark pastel blue
03C03C|138.98.75|Dark pastel green
966FD6|263.48.84|Dark pastel purple
C23B22|9.82.76|Dark pastel red
E75480|342.64.91|Dark pink
003399|220.100.60|Dark powder blue
4F3A3C|354.27.31|Dark puce
301934|291.51.20|Dark purple
872657|330.72.53|Dark raspberry
8B0000|0.100.55|Dark red
E9967A|15.48.91|Dark salmon
560319|344.97.34|Dark scarlet
8FBC8F|120.24.74|Dark sea green
3C1414|0.67.24|Dark sienna
71706E|40.3.44|Dark silver
8CBED6|199.35.84|Dark sky blue
483D8B|248.56.55|Dark slate blue
2F4F4F|180.41.31|Dark slate gray
177245|150.80.45|Dark spring green
918151|45.44.57|Dark tan
FFA812|38.93.100|Dark tangerine
483C32|27.31.28|Dark taupe
CC4E5C|353.62.80|Dark terra cotta
00CED1|181.100.82|Dark turquoise
D1BEA8|32.20.82|Dark vanilla
9400D3|282.100.83|Dark violet
9B870C|52.92.61|Dark yellow
00703C|152.100.44|Dartmouth green
D70A53|339.95.84|Debian red
9C8AA4|282.16.16|Deep amethyst
40826D|161.51.51|Deep aquamarine
A9203E|347.81.66|Deep carmine
EF3038|357.80.94|Deep carmine pink
E9692C|19.81.91|Deep carrot orange
DA3287|330.77.85|Deep cerise
FAD6A5|35.34.98|Deep champagne
B94E48|3.61.73|Deep chestnut
704241|1.42.44|Deep coffee
C154C1|300.56.76|Deep fuchsia
056608|122.95.40|Deep Green
0E7C61|165.89.49|Deep green-cyan turquoise
004B49|178.100.29|Deep jungle green
F5C71A|47.89.96|Deep lemon
9955BB|280.55.73|Deep lilac
CC00CC|300.100.80|Deep magenta
820000|0.100.51|Deep maroon
D473D4|300.46.83|Deep mauve
355E3B|129.44.37|Deep moss green
FFCBA4|26.36.100|Deep peach
FF1493|328.92.100|Deep pink
A95C68|351.46.66|Deep puce
850101|0.99.52|Deep Red
843F5B|336.52.52|Deep ruby
FF9933|30.80.100|Deep saffron
00BFFF|195.100.100|Deep sky blue
4A646C|194.31.42|Deep Space Sparkle
556B2F|82.56.42|Deep spring bud
7E5E60|356.25.49|Deep Taupe
66424D|342.35.40|Deep Tuscan red
330066|270.100.40|Deep violet
BA8759|28.52.73|Deer
1560BD|213.89.74|Denim
2243B6|227.81.71|Denim Blue
669999|180.33.60|Desaturated cyan
C19A6B|33.45.76|Desert
EDC9AF|25.26.93|Desert sand
EA3C53|352.74.92|Desire
B9F2FF|191.27.100|Diamond
C53151|347.75.77|Dingy Dungeon
9B7653|29.46.61|Dirt
B5651E|28.83.71|Dirty brown
E8E4C9|52.13.91|Dirty white
1E90FF|210.88.100|Dodger blue
FEF65B|57.64.100|Dodie yellow
D71868|335.89.84|Dogwood rose
85BB65|98.46.73|Dollar bill
828E84|130.8.56|Dolphin gray
664C28|35.61.40|Donkey brown
967117|43.85.59|Drab
00009C|240.100.61|Duke blue
E5CCC9|6.12.90|Dust storm
EFDFBB|42.22.94|Dutch white
5D3A1A|29.72.36|Earthtone
E1A95F|34.58.88|Earth yellow
555D50|97.14.36|Ebony
C2B280|45.34.76|Ecru
614051|329.34.38|Eggplant
F0EAD6|46.11.94|Eggshell
1034A6|226.90.65|Egyptian blue
7DF9FF|183.51.100|Electric blue
B56257|8.52.71|Electric brown
FF003F|345.100.100|Electric crimson
00FFFF|180.100.100|Electric cyan
00FF00|120.100.100|Electric green
6F00FF|266.100.100|Electric indigo
F4BBFF|290.27.100|Electric lavender
CCFF00|72.100.100|Electric lime
FF3503|12.99.100|Electric orange
F62681|334.85.96|Electric pink
BF00FF|285.100.100|Electric purple
E60000|0.100.90|Electric red
3F00FF|255.100.100|Electric ultramarine
8F00FF|274.100.100|Electric violet
FFFF33|60.80.100|Electric yellow
50C878|140.60.78|Emerald
6C3082|284.63.51|Eminence
1B4D3E|162.65.30|English green
B48395|338.27.71|English lavender
AB4B52|356.56.67|English red
CC474B|358.65.80|English vermillion
563C5C|289.35.36|English violet
96C8A2|134.25.78|Eton blue
44D7A8|161.68.84|Eucalyptus
39569C|222.63.61|Facebook Blue
C19A6B|33.45.76|Fallow
801818|0.81.50|Falu red
B53389|320.72.71|Fandango
DE5285|338.63.87|Fandango pink
F400A1|320.100.96|Fashion fuchsia
E5AA70|30.51.90|Fawn
4D5D53|143.17.36|Feldgrau
FDD5B1|28.30.99|Feldspar
4F7942|106.45.47|Fern green
FF2800|9.100.100|Ferrari red
6C541E|42.72.42|Field drab
FF5470|350.67.100|Fiery rose
B22222|0.81.70|Firebrick
CE2029|357.84.81|Fire engine red
E95C4B|6.68.91|Fire opal
E25822|17.85.89|Flame
FC8EAC|344.44.99|Flamingo pink
6B4423|28.67.42|Flattery
F7E98E|52.43.97|Flavescent
EEDC82|50.45.93|Flax
216BD6|215.85.84|Flickr Blue
FB0081|329.100.98|Flickr Pink
A2006D|320.100.64|Flirt
FFFAF0|40.6.100|Floral white
F498AD|346.38.96|Flower girl
15F4EE|178.91.96|Fluorescent blue
FFBF00|45.100.100|Fluorescent orange
FF1493|328.92.100|Fluorescent pink
CCFF00|72.100.100|Fluorescent yellow
FF004F|341.100.100|Folly
5FA777|140.43.65|Forest green (Crayola)
014421|149.99.27|Forest green (traditional)
228B22|120.76.55|Forest green (web)
A67B5B|26.45.65|French beige
856D4D|34.42.52|French bistre
0072BB|203.100.73|French blue
FD3F92|334.75.99|French fuchsia
86608E|290.32.56|French lilac
9EFD38|89.78.99|French lime
D473D4|300.46.83|French mauve
1C0218|309.90.11|French Middle Red Purple
FD6C9E|339.57.99|French pink
811453|325.84.51|French plum
4E1609|11.88.31|French puce
C72C48|349.78.78|French raspberry
F64A8A|338.70.96|French rose
77B5FE|212.53.100|French sky blue
8806CE|279.97.81|French violet
AC1E44|344.83.67|French wine
A6E7FF|196.35.100|Fresh Air
E936A7|322.77.91|Frostbite
FF00FF|300.100.100|Fuchsia
C154C1|300.56.76|Fuchsia (Crayola)
FF77FF|300.53.100|Fuchsia pink
CC397B|333.72.80|Fuchsia purple
C74375|337.66.78|Fuchsia rose
E48400|35.100.89|Fulvous
CC6666|0.50.80|Fuzzy Wuzzy
DCDCDC|0.0.86|Gainsboro
E49B0F|39.93.89|Gamboge
996600|40.100.60|Gamboge orange (brown)
FFDF46|50.73.100|Gargoyle Gas
007F66|168.100.50|Generic viridian
F8F8FF|240.3.100|Ghost white
B05C52|6.53.69|Giant's Club
FE5A1D|16.89.100|Giants orange
D8E4BC|78.18.89|Gin
6082B6|216.47.71|Glaucous
AB92B3|285.18.70|Glossy grape
00AB66|156.100.67|GO green
A57C00|46.100.65|Gold
D4AF37|46.74.83|Gold (metallic)
FFD700|51.100.100|Gold (web) (Golden)
E6BE8A|34.40.90|Gold (Crayola)
85754E|43.41.52|Gold Fusion
BD9B16|48.88.74|Gold foil
996515|36.86.60|Golden brown
FCC200|46.100.99|Golden poppy
FFDF00|52.100.100|Golden yellow
DAA520|43.85.85|Goldenrod
676767|0.0.40|Granite gray
A8E4A0|113.30.89|Granny Smith apple
6F2DA8|272.73.66|Grape
808080|0.0.50|Gray (HTML/CSS gray)
BEBEBE|0.0.75|Gray (X11 gray)
465945|117.22.35|Gray-asparagus
8C92AC|229.19.67|Gray-blue
008001|120.100.50|Green
00FF00|120.100.100|Green (Color Wheel) (X11 green)
1CAC78|158.84.67|Green (Crayola)
008000|120.100.50|Green (HTML/CSS color)
00A877|163.100.66|Green (Munsell)
009F6B|160.100.62|Green (NCS)
00AD43|143.100.68|Green (Pantone)
00A550|149.100.65|Green (pigment)
66B032|95.72.69|Green (RYB)
1164B4|209.91.71|Green-blue
2887C8|204.80.78|Green-blue (Crayola)
4C721D|88.75.45|Green Cola
009966|160.100.60|Green-cyan
A7F432|84.80.96|Green Lizard
6EAEA1|168.37.68|Green Sheen
65FF00|96.100.100|Green slime
ADFF2F|84.82.100|Green-yellow
F0E891|55.40.94|Green-yellow (Crayola)
A99A86|34.21.66|Grullo
00FF7F|150.100.100|Guppie green
